Nome,Custo_Producao_R$/ha,Produtividade_t/ha,Ciclo_dias,Requisito_Agua_mm,Retorno_Financeiro_R$/ha,Compatibilidade
Milho,3500,7.5,120,600,6000,Soja;Feijão
Soja,3200,3.2,115,550,6500,Milho;Mandioca
Feijão,4000,2.0,90,500,8000,Milho;Mandioca
Sorgo,2500,4.0,100,450,4000,Milho;Soja
Mandioca,2800,18.0,300,700,9000,Soja;Feijão
Arroz,3700,6.0,130,1200,7000,Feijão;Trigo
Trigo,3300,4.5,140,500,6200,Arroz;Soja
Algodão,5200,4.0,160,800,12000,Milho;Sorgo
Cana-de-açúcar,4500,80.0,340,1500,11000,Milho;Mandioca
Girassol,2700,2.2,110,400,5000,Soja;Trigo
Batata,6000,30.0,120,600,15000,Cenoura;Cebola
Tomate,8000,80.0,110,700,25000,Cebola;Batata
Cenoura,5000,25.0,100,500,12000,Batata;Cebola
Cebola,5500,30.0,130,600,14000,Tomate;Cenoura
Amendoim,2600,2.5,120,400,4500,Milho;Mandioca
Aveia,2100,3.0,90,350,3500,Trigo;Soja
Ervilha,3200,2.0,80,300,6000,Trigo;Feijão
Lentilha,3400,1.8,85,320,6500,Ervilha;Trigo
Abóbora,2000,15.0,100,400,7000,Milho;Feijão
Melancia,2500,25.0,90,500,9000,Abóbora;Milho
Pimentão,7000,50.0,120,650,20000,Tomate;Cebola
Alface,3500,30.0,60,350,10000,Cenoura;Cebola
